Rank,Mark,WIND,Competitor,DOB,Nat,Pos,Venue,Date,ResultScore
1,2:15:55,0.0,Sutume Asefa KEBEDE,11 DEC 1994,ETH,1,Tokyo (JPN),03 MAR 2024,1276
2,2:16:07,0.0,Tigist KETEMA,15 SEP 1998,ETH,1,Dubai (UAE),07 JAN 2024,1274
3,2:16:14,0.0,Rosemary WANJIRU,09 DEC 1994,KEN,2,Tokyo (JPN),03 MAR 2024,1272
4,2:16:58,0.0,Amane Beriso SHANKULE,13 OCT 1991,ETH,3,Tokyo (JPN),03 MAR 2024,1265
5,2:18:05,0.0,Sifan HASSAN,01 JAN 1993,NED,4,Tokyo (JPN),03 MAR 2024,1253
6,2:18:09,0.0,Ruti AGA,16 JAN 1994,ETH,2,Dubai (UAE),07 JAN 2024,1252
7,2:18:51,0.0,Workenesh EDESA,11 SEP 1992,ETH,1,Osaka (JPN),28 JAN 2024,1245
8,2:18:59,0.0,Honami MAEDA,17 JUL 1996,JPN,2,Osaka (JPN),28 JAN 2024,1244
9,2:19:17,0.0,Betsy SAINA,30 JUN 1988,USA,5,Tokyo (JPN),03 MAR 2024,1241
10,2:19:29,0.0,Dera DIDA,26 OCT 1996,ETH,3,Dubai (UAE),07 JAN 2024,1239
11,2:19:30,0.0,Ashete BEKERE,17 APR 1988,ETH,1,Rotterdam (NED),14 APR 2024,1238
12,2:19:33,0.0,Rahma TUSA,14 SEP 1993,ETH,1,"Houston, TX (USA)",14 JAN 2024,1238
13,2:19:52,0.0,Degitu AZIMERAW,24 JAN 1999,ETH,1,Barcelona (ESP),10 MAR 2024,1235
14,2:19:55,0.0,Vicoty CHEPNGENO,12 NOV 1993,KEN,2,"Houston, TX (USA)",14 JAN 2024,1234
15,2:20:45,0.0,Mestawut FIKIR,02 MAR 2000,ETH,1,Paris (FRA),07 APR 2024,1226
16,2:20:48,0.0,Enatnesh Alamrew TIRUSEW,1995,ETH,2,Paris (FRA),07 APR 2024,1225
17,2:20:57,0.0,Viola Jelagat KIBIWOT,22 DEC 1983,KEN,2,Rotterdam (NED),14 APR 2024,1224
18,2:21:18,0.0,Yuka ANDO,16 MAR 1994,JPN,1,Nagoya (JPN),10 MAR 2024,1220
19,2:21:25,0.0,Eunice Chebichii CHUMBA,23 MAY 1993,BRN,2,Nagoya (JPN),10 MAR 2024,1219
20,2:21:27,0.0,Jackline SAKILU,28 DEC 1986,TAN,1,Chongqing (CHN),24 MAR 2024,1218
21,2:21:32,0.0,Fikrte WERETA,21 SEP 2000,ETH,1,Seoul (KOR),17 MAR 2024,1218
21,2:21:32,0.0,Angela TANUI,27 JUL 1992,KEN,2,Daegu (KOR),07 APR 2024,1218
23,2:21:33,0.0,Ayuko SUZUKI,08 OCT 1991,JPN,3,Nagoya (JPN),10 MAR 2024,1217
24,2:21:35,0.0,Shuko GENEMO,13 SEP 1995,ETH,2,Barcelona (ESP),10 MAR 2024,1217
25,2:21:46,0.0,Vivian Jepkemei CHERUIYOT,11 SEP 1983,KEN,3,Paris (FRA),07 APR 2024,1215
26,2:21:47,0.0,Melat Yisak KEJETA,27 SEP 1992,GER,4,Dubai (UAE),07 JAN 2024,1215
27,2:21:50,0.0,Hitomi NIIYA,26 FEB 1988,JPN,6,Tokyo (JPN),03 MAR 2024,1215
28,2:21:53,0.0,Amid Fozya JEMAL,11 SEP 1998,ETH,5,Dubai (UAE),07 JAN 2024,1214
29,2:21:55,0.0,Shitaye ESHETE,21 MAY 1990,BRN,6,Dubai (UAE),07 JAN 2024,1214
30,2:22:10,0.0,Fiona O'KEEFFE,24 MAY 1998,USA,1,"Orlando, FL (USA)",03 FEB 2024,1211
31,2:22:11,0.0,Rika KASEDA,02 MAR 1999,JPN,4,Nagoya (JPN),10 MAR 2024,1211
31,2:22:11,0.0,Evaline CHIRCHIR,02 FEB 1998,KEN,3,Daegu (KOR),07 APR 2024,1211
33,2:22:13,0.0,Azmera GEBRU,31 OCT 1995,ETH,1,Sevilla (ESP),18 FEB 2024,1211
34,2:22:19,0.0,Desi Jisa MOKONIN,12 JUL 1997,BRN,2,Seoul (KOR),17 MAR 2024,1210
35,2:22:23,0.0,Atalel ANMUT,15 DEC 1999,ETH,7,Dubai (UAE),07 JAN 2024,1209
36,2:22:38,0.0,Josephine CHEPKOECH,21 APR 1989,KEN,2,Sevilla (ESP),18 FEB 2024,1206
37,2:22:42,0.0,Emily SISSON,12 OCT 1991,USA,2,"Orlando, FL (USA)",03 FEB 2024,1206
38,2:22:46,0.0,Selly Chepyego KAPTICH,03 OCT 1985,KEN,3,Rotterdam (NED),14 APR 2024,1205
39,2:22:51,0.0,Magdalyne MASAI,21 NOV 1993,KEN,3,Sevilla (ESP),18 FEB 2024,1204
40,2:22:52,0.0,Visiline JEPKESHO,30 DEC 1989,KEN,3,Seoul (KOR),17 MAR 2024,1204
41,2:22:54,0.0,Bekelech GUDETA,11 OCT 1997,ETH,1,Xiamen (CHN),07 JAN 2024,1204
42,2:22:58,0.0,Meseret DINKE,22 SEP 1996,ETH,3,Barcelona (ESP),10 MAR 2024,1203
43,2:23:07,0.0,Mizuki MATSUDA,31 MAY 1995,JPN,3,Osaka (JPN),28 JAN 2024,1201
44,2:23:08,0.0,Meseret ABEBAYAHAU,28 JUN 1998,ETH,7,Tokyo (JPN),03 MAR 2024,1201
45,2:23:18,0.0,Derartu HAILU,08 MAY 2000,ETH,4,Sevilla (ESP),18 FEB 2024,1200
46,2:23:20,0.0,Betelihem AFENIGUS,2001,ETH,4,Seoul (KOR),17 MAR 2024,1199
47,2:23:36,0.0,Stella CHESANG,01 DEC 1996,UGA,4,Osaka (JPN),28 JAN 2024,1197
48,2:23:38,0.0,Valary JEMELI,08 JUN 1991,KEN,1,Doha (QAT),16 FEB 2024,1196
49,2:23:43,0.0,Yebrgual MELESE,18 APR 1990,ETH,5,Seoul (KOR),17 MAR 2024,1195
50,2:23:45,0.0,Joan KIPYATICH,15 SEP 1998,KEN,2,Doha (QAT),16 FEB 2024,1195
51,2:23:47,0.0,Antonina KWAMBAI,01 APR 1992,KEN,5,Sevilla (ESP),18 FEB 2024,1195
52,2:23:50,0.0,Domenika MAYER,09 OCT 1990,GER,1,Hannover (GER),14 APR 2024,1194
53,2:24:01,0.0,Jessica STENSON,15 AUG 1987,AUS,4,Daegu (KOR),07 APR 2024,1192
54,2:24:02,0.0,Dalila ABDULKADIR,27 JUN 1998,BRN,6,Sevilla (ESP),18 FEB 2024,1192
55,2:24:12,0.0,Fatima Ezzahra GARDADI,20 MAR 1992,MAR,2,Xiamen (CHN),07 JAN 2024,1190
55,2:24:12,0.0,Méline ROLLIN,17 JUN 1998,FRA,7,Sevilla (ESP),18 FEB 2024,1190
57,2:24:18,0.0,Florencia BORELLI,30 OCT 1992,ARG,8,Sevilla (ESP),18 FEB 2024,1189
58,2:24:20,0.0,Waganesh MEKASHA,16 JAN 1992,ETH,1,Osaka (JPN),25 FEB 2024,1189
59,2:24:21,0.0,Valentine Chepkwemoi MATEIKO,06 SEP 1996,KEN,4,Paris (FRA),07 APR 2024,1189
60,2:24:24,0.0,Sifan MELAKU,05 FEB 2000,ETH,6,Seoul (KOR),17 MAR 2024,1188
61,2:24:30,0.0,Carolina WIKSTRÖM,04 SEP 1993,SWE,9,Sevilla (ESP),18 FEB 2024,1187
62,2:24:36,0.0,Ivyne JERUTO,28 FEB 1993,KEN,1,Roma (ITA),17 MAR 2024,1186
63,2:24:37,0.0,Tejinesh GEBISA,03 MAR 1995,ETH,10,Sevilla (ESP),18 FEB 2024,1186
63,2:24:37,0.0,Beyenu DEGEFA,12 JUL 1999,ETH,2,Osaka (JPN),25 FEB 2024,1186
65,2:24:39,0.0,Tigist GASHAW,25 DEC 1996,BRN,5,Daegu (KOR),07 APR 2024,1186
66,2:24:40,0.0,Esther NAVARRETE,16 MAR 1990,ESP,11,Sevilla (ESP),18 FEB 2024,1186
67,2:24:41,0.0,Sharon Jemutai CHEROP,16 MAR 1984,KEN,2,Hannover (GER),14 APR 2024,1186
68,2:24:43,0.0,Sayaka SATO,27 MAY 1994,JPN,5,Osaka (JPN),28 JAN 2024,1185
68,2:24:43,0.0,Lisa WEIGHTMAN,16 JAN 1979,AUS,3,Osaka (JPN),25 FEB 2024,1185
70,2:24:45,0.0,Munkhzaya BAYARTSOGT,10 OCT 1993,MGL,7,Seoul (KOR),17 MAR 2024,1185
71,2:24:46,0.0,Veronica MAINA,08 AUG 1989,KEN,1,Wuxi (CHN),24 MAR 2024,1185
72,2:24:49,0.0,Emily Chebet KIPCHUMBA,16 FEB 1998,KEN,4,Rotterdam (NED),14 APR 2024,1184
73,2:24:50,0.0,Tsegaye MELESECH,1994,ETH,3,"Houston, TX (USA)",14 JAN 2024,1184
73,2:24:50,0.0,Celestine CHEPCHIRCHIR,18 DEC 1995,KEN,8,Seoul (KOR),17 MAR 2024,1184
75,2:24:51,0.0,Rahma TAHIRI,09 AUG 1998,MAR,12,Sevilla (ESP),18 FEB 2024,1184
75,2:24:51,0.0,Zinah SENBETA,30 SEP 1998,ETH,4,Barcelona (ESP),10 MAR 2024,1184
77,2:24:54,0.0,Deborah SCHÖNEBORN,13 MAR 1994,GER,4,"Houston, TX (USA)",14 JAN 2024,1183
78,2:24:56,0.0,Katharina STEINRUCK,22 AUG 1989,GER,6,Osaka (JPN),28 JAN 2024,1183
78,2:24:56,0.0,Chloé HERBIET,03 DEC 1998,BEL,13,Sevilla (ESP),18 FEB 2024,1183
78,2:24:56,0.0,Pascalia JEPKOGEI,19 NOV 2001,KEN,5,Rotterdam (NED),14 APR 2024,1183
81,2:24:57,0.0,Meritxell SOLER,20 JUL 1992,ESP,14,Sevilla (ESP),18 FEB 2024,1183
82,2:25:03,0.0,Kaoutar BOULAID,10 OCT 1989,MAR,5,Barcelona (ESP),10 MAR 2024,1182
83,2:25:08,0.0,Cian OLDKNOW,17 SEP 1996,RSA,15,Sevilla (ESP),18 FEB 2024,1181
84,2:25:10,0.0,Natsumi MATSUSHITA,22 JAN 1995,JPN,7,Osaka (JPN),28 JAN 2024,1181
84,2:25:10,0.0,Lydia Naliaka SIMIYU,24 APR 1996,KEN,2,Roma (ITA),17 MAR 2024,1181
86,2:25:12,0.0,Mare DIBABA,20 OCT 1989,ETH,1,Wuhan (CHN),24 MAR 2024,1180
87,2:25:16,0.0,Yuna DAITO,27 OCT 1997,JPN,8,Osaka (JPN),28 JAN 2024,1180
88,2:25:23,0.0,Thalia VALDIVIA,27 APR 1996,PER,6,Rotterdam (NED),14 APR 2024,1179
89,2:25:25,0.0,Helen BEKELE,21 NOV 1994,ETH,4,Osaka (JPN),25 FEB 2024,1178
90,2:25:27,0.0,Sisay Meseret GOLA,30 DEC 1997,ETH,7,Rotterdam (NED),14 APR 2024,1178
91,2:25:31,0.0,Dakotah LINDWURM,01 MAY 1995,USA,3,"Orlando, FL (USA)",03 FEB 2024,1177
92,2:25:32,0.0,Sintayehu TILAHUN,1999,ETH,9,Seoul (KOR),17 MAR 2024,1177
93,2:25:42,0.0,Nigsti HAFTU,08 JUL 1999,ETH,16,Sevilla (ESP),18 FEB 2024,1175
94,2:25:44,0.0,Kaede KAWAMURA,23 NOV 1997,JPN,5,Osaka (JPN),25 FEB 2024,1175
95,2:25:45,0.0,Yuyu XIA,01 MAR 1998,CHN,5,Nagoya (JPN),10 MAR 2024,1175
96,2:25:46,0.0,Jessica MCLAIN,15 FEB 1992,USA,4,"Orlando, FL (USA)",03 FEB 2024,1175
97,2:25:58,0.0,Fantu ZEWUDE,26 SEP 1996,ETH,17,Sevilla (ESP),18 FEB 2024,1173
98,2:26:00,0.0,Yenenesh TILAHUN DINKESA,22 SEP 1994,ETH,6,Paris (FRA),07 APR 2024,1172
99,2:26:01,0.0,Medina Deme ARMINO,22 OCT 1997,ETH,7,Paris (FRA),07 APR 2024,1172
100,2:26:03,0.0,Ethlemahu SINTAYEHU,23 FEB 2001,ETH,8,Paris (FRA),07 APR 2024,1172
